countryiso,indicator,source,url,date,unit,value
#country+code,#indicator+name,#meta+source,#meta+url,#date,#indicator+unit,#value+amount
AUT,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,82520
AZE,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,10141756
AZE,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,122.658802177858
AZE,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",17828.6083929734
AZE,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,82650
BHS,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,409984
BHS,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,40.7498501498501
BHS,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",40942.7767235251
BHS,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,10010
BHR,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,1472233
